wikidata_id,name,latitude,longitude,inception,image
Q693174,basilica di San Paolo Maggiore,40.85144,14.25683,1538-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Paolo%20Maggiore%20%28Napoli%29%2C%20facciata%2001.jpg
Q731479,chiesa di San Carlo al Corso,45.466207,9.196286,1847-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Milano%20chiesa%20San%20Carlo%20al%20Corso.JPG
Q762352,abbazia di San Mercuriale,44.222766,12.042047,1178-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Forl%C3%AC%2C%20san%20mercuriale%2C%20esterno%2002%2C0.jpg
Q573881,basilica di San Lorenzo,43.775,11.253888888,1421-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Florencia%2C%20Italia%20-%20panoramio%20%282%29.jpg
Q644828,basilica di San Domenico,43.10659,12.39176,1401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Domenico%20-%20Perugia.jpg
Q677362,basilica dell'Incoronata Madre del Buon Consiglio,40.86459,14.24708,1960-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Madre%20del%20Buon%20Consiglio%20%28Naples%29%2001.jpg
Q609293,basilica di Santa Maria in Cosmedin,41.888123,12.481567,0501-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%2C%20basilica%20di%20Santa%20Maria%20in%20Cosmedin%20-%20Facciata.jpg
Q685940,basilica di Santa Croce in Gerusalemme,41.887777777,12.516388888,1758-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20croce%20di%20gerusalemme%20at%20Night.jpg
Q833129,abbazia di Casamari,41.67111111,13.48722222,,http://commons.wikimedia.org/wiki/Special:FilePath/Veroli%2C%20Abbazia%20di%20Casamari%20001.JPG
Q844111,basilica di Santa Croce,40.35468,18.17314,1549-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Puglia%20Lecce3%20tango7174.jpg
Q644850,basilica di San Pietro,43.101,12.3957,0901-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/IMG%201063%20-%20Perugia%20-%20San%20Pietro%20-%20Chiostro%20maggiore%20%28sec.%20XVI%29%20-%207%20ago%202006%20-%20Foto%20G.%20Dall%27Orto.jpg
Q749677,cattedrale di Noto,36.89137,15.07081,1776-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Noto%20Cathedral%20BW%202025-04-26%2011-10-58.jpg
Q810128,basilica di Santa Maria Assunta in Cielo e Santi Ermagora e Fortunato,45.76975,13.371167,0850-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20Patriarcale%20%28Aquileia%29%20-%20Exterior.jpg
Q654996,basilica della Santa Casa di Loreto,43.44093,13.61092,1468-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20Pontificia%20della%20Santa%20Casa%20di%20Loreto.jpg
Q734216,basilica di Sant'Eufemia,45.4575,9.18861111,1870-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/IMG%205524%20-%20MI%20-%20Sant%27Eufemia%20-%20Foto%20Giovanni%20Dall%27Orto%20-%2021-Febr-2007.jpg
Q592244,basilica di Santa Sabina,41.884444444,12.479722222,0401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Sabina%20%28Rome%29%20-%20Esterno.jpg
Q762111,basilica di San Frediano,43.846111,10.504722,1118-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Frediano%20Lucca.jpg
Q750495,cattedrale di Piazza Armerina,37.384895,14.364149,,http://commons.wikimedia.org/wiki/Special:FilePath/Piazza%20Armerina%2C%20La%20Cattedrale%20-%20panoramio.jpg
Q671933,cattedrale di San Giorgio,44.835765,11.619739,1200-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ferrara%2002.jpg
Q823685,basilica di Santa Maria sopra Minerva,41.898055555,12.478333333,1370-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20sopra%20Minerva.jpg
Q810075,basilica di San Domenico,43.319861111,11.326694444,1226-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Domenico%20Siena%20Apr%202008%20%2820%29%20detail.JPG
Q713558,basilica di San Giorgio Maggiore,45.4293,12.3433,1566-03-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Giorgio%20Maggiore%20%28Venice%29.jpg
Q642479,basilica del Sacro Cuore di Cristo Re,41.9174,12.46534722,1920-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cristore35.jpg
Q810139,basilica di Sant'Antonio di Padova,45.40137,11.88053,1238-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Antonio%20%28Padua%29%20-%20Facade.jpg
Q762352,abbazia di San Mercuriale,44.222766,12.042047,1150-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Forl%C3%AC%2C%20san%20mercuriale%2C%20esterno%2002%2C0.jpg
Q744552,basilica di Sant'Apollinare in Classe,44.380117,12.232365,0550-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ravenna%20BW%201.JPG
Q733217,duomo di Messina,38.19218056,15.55538889,,http://commons.wikimedia.org/wiki/Special:FilePath/Messina%20duomo%202.JPG
Q740463,santuario di Nostra Signora della Guardia,44.88804,8.85915,1926-10-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/MadonnaDellaGuardia.JPG
Q658051,basilica di San Sebastiano fuori le mura,41.855555555,12.515555555,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Sebastiano%20fuori%20le%20mura%20%28Rome%29.jpg
Q675513,basilica dei Santi Cosma e Damiano,41.892310932,12.487503021,0501-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/DSC06812%20Saints%20Cosmas%20and%20Damian%20outside.jpg
Q672082,basilica di Sant'Eustorgio,45.453926,9.181407,,http://commons.wikimedia.org/wiki/Special:FilePath/7172MilanoSEustorgio.JPG
Q788293,cattedrale di San Panfilo,42.05398,13.92047,1101-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sulmona%20-%20Cattedrale%20di%20San%20Panfilo.JPG
Q749536,cattedrale di Brindisi,40.6404419,17.9457165,,http://commons.wikimedia.org/wiki/Special:FilePath/Cath%C3%A9drale%20de%20Brindisi.JPG
Q810139,basilica di Sant'Antonio di Padova,45.40137,11.88053,1238-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20of%20St.%20Anthony%20in%20Padua.jpg
Q733890,basilica di Santa Prassede,41.896111111,12.498611111,0780-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20Santa%20Prassede%20-%20esterno.jpg
Q738214,Basilica di San Lorenzo fuori le mura,41.902534177,12.52054723,0501-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20of%20Saint%20Lawrence%20outside%20the%20Walls.jpg
Q810074,basilica di San Francesco,43.32232101,11.33458614,1475-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/SienaSanFrancesco.JPG
Q810103,basilica di San Petronio,44.493382243,11.343284639,1390-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bologna%20italy%20basilica%20di%20San%20Petronio.jpg
Q844337,basilica di San Miniato al Monte,43.759444,11.265,1018-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sanminiato.jpg
Q810072,basilica di San Clemente in Santa Maria dei Servi,43.315166666,11.338255555,,http://commons.wikimedia.org/wiki/Special:FilePath/2009%20Sienne%20San%20Clemente%20in%20Santa%20Maria%20dei%20Servi.jpg
Q621060,cattedrale di San Vigilio,46.0669,11.1215,1201-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Trento%2C%20cattedrale%20di%20San%20Vigilio%202.jpg
Q762111,basilica di San Frediano,43.846111,10.504722,1112-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Frediano%20Lucca.jpg
Q810106,basilica di Santa Chiara,43.06888889,12.61694444,1257-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Chiara%20Assisi2.jpg
Q753721,duomo di Modena,44.646444,10.92525,1050-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Duomo%20di%20Modena%2020.JPG
Q810103,basilica di San Petronio,44.493382243,11.343284639,1350-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bologna%20italy%20basilica%20di%20San%20Petronio.jpg
Q810100,basilica di San Pietro Apostolo,43.67972222,10.34666667,1800-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pisa%20-%20Basilica%20di%20San%20Pietro%20Apostolo%20-%202023-09-27%2015-35-24%20002.jpg
Q681407,basilica di Santa Maria Regina degli Apostoli alla Montagnola,41.8535,12.4831,1954-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20-%20Basilica%20di%20Santa%20Maria%20Regina%20degli%20Apostoli%20alla%20Montagnola.jpg
Q721817,basilica di San Vitale,44.420555555,12.196388888,0550-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20of%20San%20Vitale.jpg
Q733890,basilica di Santa Prassede,41.896111111,12.498611111,0801-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20Santa%20Prassede%20-%20esterno.jpg
Q810128,basilica di Santa Maria Assunta in Cielo e Santi Ermagora e Fortunato,45.76975,13.371167,0400-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20Patriarcale%20%28Aquileia%29%20-%20Exterior.jpg
Q774696,basilica dei Santi Pietro e Paolo,41.83369,12.45928,1939-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20EUR%20Basilica%20santi%20Pietro%20e%20Paolo.jpg
Q810107,basilica di Santo Stefano,44.492204126,11.348648326,0950-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Veduta%20dell%27abbazia%20di%20Santo%20Stefano%2C%20Bologna.jpg
Q593993,basilica cattedrale di Santa Maria Assunta,41.50802778,15.335,1302-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20cattedrale%20di%20Santa%20Maria%20Assunta%20%28Lucera%29.JPG
Q717930,basilica santuario di Santa Maria del Carmine Maggiore,40.84677,14.26823,1200-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20del%20Carmine%20Maggiore%20%28Naples%29.jpg
Q732511,battistero di San Giovanni,43.773055555,11.255,1059-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Firenze%20Battistero%20di%20San%20Giovanni%20Esterno%2004.jpg
Q569253,basilica di Santa Maria degli Angeli e dei Martiri,41.903055555,12.496944444,,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20Santa%20Maria%20degli%20Angeli%20e%20dei%20Martiri%20-%2022-11-2019.jpg
Q672894,basilica di San Francesco,44.49477,11.33564,1236-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Francesco%2C%20Bologna.jpg
Q672894,basilica di San Francesco,44.49477,11.33564,1236-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sommit%C3%A0%20del%20campanile%20della%20basilica%20di%20San%20Francesco%2C%20Bologna.jpg
Q827848,santuario di Nostra Signora della Guardia,44.49,8.86272222,,http://commons.wikimedia.org/wiki/Special:FilePath/Nostra%20signora%20della%20guardia2.jpg
Q717729,basilica di San Gennaro fuori le mura,40.863919444,14.246425,,http://commons.wikimedia.org/wiki/Special:FilePath/Facciata%20San%20Gennaro%20dei%20Poveri.jpg
Q810070,basilica dell'Osservanza,43.33331,11.33955,1401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/BasilicaDellOsservanzaSiena2.jpg
Q124080197,battistero di Santa Maria presso San Satiro,,,,
Q124154936,battistero in Santa Maria e San Donato,,,,
Q108393822,Battistero di San Giovanni,45.9732,9.19602,,http://commons.wikimedia.org/wiki/Special:FilePath/34LennoBattistero.jpg
Q105700280,Battistero di San Giovanni Battista,45.696216,9.176248,,http://commons.wikimedia.org/wiki/Special:FilePath/Mariano%20Comense%20-%20Battistero%20di%20San%20Giovanni%20Battista%20-%202023.jpg
Q33537561,battistero di San Giovanni,45.741391,9.138775,,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20galliano%20esterno.jpg
Q131794738,battistero,44.407784,8.939323,,
Q112817904,Battistero della Chiesa della Beata Vergine Immacolata e tre fanciulli,45.725552,9.238499,,
Q3983163,tempietto del Santo Sepolcro,43.77196,11.2499,1457-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20del%20santo%20sepolcro%2Ctempietto%2000.JPG
Q33113318,battistero di San Giovanni Battista,45.81829,8.82764,,http://commons.wikimedia.org/wiki/Special:FilePath/329VareseBattistero.jpg
